AGY_agency_code,Agency explaination
AF,AF-DEPARTMENT OF THE AIR FORCE
AG,AG-DEPARTMENT OF AGRICULTURE
AR,AR-DEPARTMENT OF THE ARMY
CM,CM-DEPARTMENT OF COMMERCE
DD,DD-DEPARTMENT OF DEFENSE
DJ,DJ-DEPARTMENT OF JUSTICE
DL,DL-DEPARTMENT OF LABOR
DN,DN-DEPARTMENT OF ENERGY
ED,ED-DEPARTMENT OF EDUCATION
HE,HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES
HS,HS-DEPARTMENT OF HOMELAND SECURITY
HU,HU-DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT
IN,IN-DEPARTMENT OF THE INTERIOR
NV,NV-DEPARTMENT OF THE NAVY
ST,ST-DEPARTMENT OF STATE
TD,TD-DEPARTMENT OF TRANSPORTATION
TR,TR-DEPARTMENT OF THE TREASURY
VA,VA-DEPARTMENT OF VETERANS AFFAIRS
AM,AM-U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT
CU,CU-NATIONAL CREDIT UNION ADMINISTRATION
EE,EE-EQUAL EMPLOYMENT OPPORTUNITY COMMISSION
EP,EP-ENVIRONMENTAL PROTECTION AGENCY
FC,FC-FEDERAL COMMUNICATIONS COMMISSION
FD,FD-FEDERAL DEPOSIT INSURANCE CORPORATION
FQ,FQ-COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA
FR,FR-FEDERAL RESERVE SYSTEM
FT,FT-FEDERAL TRADE COMMISSION
GS,GS-GENERAL SERVICES ADMINISTRATION
IB,IB-BROADCASTING BOARD OF GOVERNORS
LP,LP-GOVERNMENT PRINTING OFFICE
NF,NF-NATIONAL SCIENCE FOUNDATION
NL,NL-NATIONAL LABOR RELATIONS BOARD
NN,NN-NATIONAL AERONAUTICS AND SPACE ADMINISTRATION
NQ,NQ-NATIONAL ARCHIVES AND RECORDS ADMINISTRATION
NU,NU-NUCLEAR REGULATORY COMMISSION
OM,OM-OFFICE OF PERSONNEL MANAGEMENT
SB,SB-SMALL BUSINESS ADMINISTRATION
SE,SE-SECURITIES AND EXCHANGE COMMISSION
SM,SM-SMITHSONIAN INSTITUTION
SZ,SZ-SOCIAL SECURITY ADMINISTRATION
AH,AH-NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES
AU,AU-FEDERAL LABOR RELATIONS AUTHORITY
BD,BD-MERIT SYSTEMS PROTECTION BOARD
BG,BG-PENSION BENEFIT GUARANTY CORPORATION
BO,BO-OFFICE OF MANAGEMENT AND BUDGET
CT,CT-COMMODITY FUTURES TRADING COMMISSION
EB,EB-EXPORT-IMPORT BANK OF THE UNITED STATES
EC,EC-OFFICE OF ADMINISTRATION
FL,FL-FARM CREDIT ADMINISTRATION
FM,FM-FEDERAL MEDIATION AND CONCILIATION SERVICE
FW,FW-OFFICE OF SPECIAL COUNSEL
GB,GB-OVERSEAS PRIVATE INVESTMENT CORPORATION
GJ,GJ-PRESIDIO TRUST
GW,"GW-INTERNATIONAL BOUNDARY AND WATER COMMISSION, U.S. SECTION"
HD,HD-U.S. HOLOCAUST MEMORIAL MUSEUM
HF,HF-FEDERAL HOUSING FINANCE AGENCY
JL,JL-JUDICIAL BRANCH
KS,KS-CORPORATION FOR NATIONAL AND COMMUNITY SERVICE
LF,LF-FEDERAL ELECTION COMMISSION
MC,MC-FEDERAL MARITIME COMMISSION
MI,MI-MILLENNIUM CHALLENGE CORPORATION
PU,PU-PEACE CORPS
RF,RF-FEDERAL RETIREMENT THRIFT INVESTMENT BOARD
RH,RH-ARMED FORCES RETIREMENT HOME
RR,RR-RAILROAD RETIREMENT BOARD
SK,SK-CONSUMER PRODUCT SAFETY COMMISSION
SS,SS-SELECTIVE SERVICE SYSTEM
TB,TB-NATIONAL TRANSPORTATION SAFETY BOARD
TC,TC-U.S. INTERNATIONAL TRADE COMMISSION
TN,TN-OFFICE OF THE U.S. TRADE REPRESENTATIVE
AA,AA-ADMINISTRATIVE CONFERENCE OF THE UNITED STATES
AB,AB-AMERICAN BATTLE MONUMENTS COMMISSION
AN,AN-AFRICAN DEVELOPMENT FOUNDATION
AP,AP-APPALACHIAN REGIONAL COMMISSION
AW,AW-ARCTIC RESEARCH COMMISSION
BF,BF-DEFENSE NUCLEAR FACILITIES SAFETY BOARD
BH,BH-COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD
BK,BK-JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION
BT,BT-ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD
BW,BW-NUCLEAR WASTE TECHNICAL REVIEW BOARD
CC,CC-COMMISSION ON CIVIL RIGHTS
CE,CE-COUNCIL OF ECONOMIC ADVISERS
CF,CF-COMMISSION OF FINE ARTS
CX,CX-NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE
DB,DB-PUBLIC INTEREST DECLASSIFICATION BOARD
DG,DG-NORTHERN BORDER REGIONAL COMMISSION
DQ,DQ-DENALI COMMISSION
EO,EO-MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION
EQ,EQ-COUNCIL ON ENVIRONMENTAL QUALITY/OFFICE OF ENVIRONMENTAL QUALITY
EW,EW-TRADE AND DEVELOPMENT AGENCY
FI,FI-FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL
FJ,FJ-CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD
FK,FK-FARM CREDIT SYSTEM INSURANCE CORPORATION
GC,GC-GULF COAST ECOSYSTEM RESTORATION COUNCIL
GE,GE-BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION
GG,GG-OFFICE OF GOVERNMENT ETHICS
GO,GO-VIETNAM EDUCATION FOUNDATION
GQ,GQ-ELECTION ASSISTANCE COMMISSION
GX,GX-INTERNATIONAL BOUNDARY COMMISSION:  UNITED STATES AND CANADA
GY,GY-INTERNATIONAL JOINT COMMISSION:  UNITED STATES AND CANADA
HB,HB-COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SE VERELY DISABLED
HP,HP-ADVISORY COUNCIL ON HISTORIC PRESERVATION
HT,HT-HARRY S. TRUMAN SCHOLARSHIP FOUNDATION
HW,HW-U.S. INTERAGENCY COUNCIL ON HOMELESSNESS
IF,IF-INTER-AMERICAN FOUNDATION
IG,IG-COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY
MA,MA-MARINE MAMMAL COMMISSION
NK,NK-NATIONAL COUNCIL ON DISABILITY
NM,NM-NATIONAL MEDIATION BOARD
NP,NP-NATIONAL CAPITAL PLANNING COMMISSION
NS,NS-NATIONAL SECURITY COUNCIL
OS,OS-OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION
QQ,QQ-OFFICE OF NATIONAL DRUG CONTROL POLICY
RE,RE-OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION
RO,RO-MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION
RS,RS-FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION
TS,TS-OFFICE OF SCIENCE AND TECHNOLOGY POLICY
UJ,UJ-JAPAN-UNITED STATES FRIENDSHIP COMMISSION
UT,UT-UTAH RECLAMATION MITIGATION AND CONSERVATION COMMISSION
VD,VD-PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD
WX,WX-WORLD WAR 1 CENTENNIAL COMMISSION
ZL,ZL-MEDICARE PAYMENT ADVISORY COMMISSION
ZP,ZP-U.S. COMMISSION ON INTERNATIONAL RELIGIOUS FREEDOM
ZS,ZS-UNITED STATES-CHINA ECONOMIC AND SECURITY REVIEW COMMISSION
ZU,ZU-DWIGHT D. EISENHOWER MEMORIAL COMMISSION